"actor","actorid","quality_class","is_active","start_date","end_date","current_year"
"Ice Cube","nm0001084","bad",False,2018,2019,2019
"Josh Brolin","nm0000982","average",True,2014,2014,2014
"Jason Patric","nm0000574","bad",True,1997,1997,1997
"Robert Sean Leonard","nm0000494","average",True,2004,2004,2004
"Courteney Cox","nm0001073","bad",True,2004,2004,2004
"Rupert Everett","nm0000391","average",True,2005,2005,2005
"Tom Hulce","nm0001371","good",True,1993,1993,1993
"Claudine Auger","nm0000805","average",True,1992,1992,1992
"Cuba Gooding Jr.","nm0000421","good",True,2007,2007,2007
"Orson Welles","nm0000080","good",True,1986,1986,1986
"Nana Visitor","nm0000684","bad",True,2011,2011,2011
"Billy Crystal","nm0000345","average",True,1991,1991,1991
"Samuel L. Jackson","nm0000168","average",True,2010,2011,2011
"Keith Carradine","nm0001018","average",True,2001,2002,2002
"Helena Bonham Carter","nm0000307","good",True,2009,2010,2010
"Alfred Molina","nm0000547","good",True,2009,2009,2009
"Martin Scorsese","nm0000217","bad",True,1972,1972,1972
"Fairuza Balk","nm0000103","average",True,1988,1989,1989
"Mathilda May","nm0000528","bad",False,2001,2006,2006
"Scott Glenn","nm0001277","good",False,1986,1986,1986
"Jill Clayburgh","nm0001049","average",False,2002,2005,2005
"Bud Cort","nm0001069","bad",False,1989,1989,1989
"Jon Lovitz","nm0001484","average",True,2015,2015,2015
"Matt Frewer","nm0001242","good",False,2012,2013,2013
"James Brolin","nm0000981","star",True,2002,2002,2002
"Robert Duncan McNeill","nm0000536","bad",False,1988,2001,2001
"Pamela Anderson","nm0000097","bad",False,2009,2009,2009
"Charles Durning","nm0001164","average",True,1986,1986,1986
"Robert Redford","nm0000602","average",False,1991,1991,1991
"Sophie Marceau","nm0000521","average",False,2006,2006,2006
"Rob Lowe","nm0000507","average",True,1999,1999,1999
"Johnny Depp","nm0000136","bad",True,2010,2010,2010
"Tcheky Karyo","nm0001409","average",False,1993,1993,1993
"Sissy Spacek","nm0000651","average",True,2018,2018,2018
"Jenny McCarthy","nm0000189","bad",False,2007,2007,2007
"Anne Heche","nm0000162","average",True,2010,2011,2011
"Loni Anderson","nm0000756","average",True,1989,1989,1989
"Woody Harrelson","nm0000437","good",True,2006,2006,2006
"Madeleine Stowe","nm0000656","average",True,1981,1981,1981
"Caroline Aaron","nm0000715","average",True,1983,1984,1984
"Martin Scorsese","nm0000217","good",False,2012,2014,2014
"Michael Dorn","nm0000373","average",False,2004,2004,2004
"Mira Sorvino","nm0000227","bad",False,1986,1992,1992
"Dom DeLuise","nm0001123","bad",False,1995,1995,1995
"Cloris Leachman","nm0001458","good",True,1986,1986,1986
"Roberto Benigni","nm0000905","good",True,1986,1986,1986
"Judd Nelson","nm0000555","bad",True,1997,1997,1997
"John Glover","nm0001278","bad",True,2013,2013,2013
"Patrick Bergin","nm0000920","average",True,1992,1992,1992
"Quentin Tarantino","nm0000233","good",False,2005,2006,2006
"Fionnula Flanagan","nm0001217","bad",False,1994,1995,1995
"Vincent D'Onofrio","nm0000352","good",True,1997,1997,1997
"Mimi Rogers","nm0000211","bad",True,2009,2011,2011
"Christian Bale","nm0000288","good",True,2007,2007,2007
"Mark Hamill","nm0000434","good",True,2014,2015,2015
"Andrew Dice Clay","nm0001048","average",True,1986,1987,1987
"Cary Elwes","nm0000144","bad",True,2016,2019,2019
"John Belushi","nm0000004","bad",True,1979,1979,1979
"Jon Lovitz","nm0001484","bad",False,1995,1995,1995
"Cuba Gooding Jr.","nm0000421","good",True,2000,2000,2000
"Dennis Hopper","nm0000454","average",True,2018,2018,2018
"James Coburn","nm0000336","average",True,1985,1985,1985
"Fairuza Balk","nm0000103","bad",True,2005,2005,2005
"Alan Rickman","nm0000614","average",True,2001,2001,2001
"Chevy Chase","nm0000331","bad",False,1975,1975,1975
"Victoria Principal","nm0000595","bad",False,1975,1975,1975
"Mimi Rogers","nm0000211","bad",True,1983,1983,1983
"Ann-Margret","nm0000268","bad",False,2001,2001,2001
"Judy Davis","nm0001114","average",True,1998,1998,1998
"Tom Arnold","nm0000792","average",True,2007,2007,2007
"Andrew Dice Clay","nm0001048","bad",True,1997,2000,2000
"Geena Davis","nm0000133","average",False,1997,1998,1998
"Marg Helgenberger","nm0001339","bad",True,2008,2008,2008
"Molly Ringwald","nm0000208","average",True,1982,1982,1982
"Raymond J. Barry","nm0000855","average",True,2014,2014,2014
"Alan Alda","nm0000257","good",False,1994,1994,1994
"Lukas Haas","nm0001305","average",True,2007,2008,2008
"Asia Argento","nm0000782","bad",False,1987,1988,1988
"F. Murray Abraham","nm0000719","bad",True,1996,1997,1997
"Seth Green","nm0001293","good",True,2012,2012,2012
"Teri Hatcher","nm0000159","average",False,1998,1998,1998
"Jackie Coogan","nm0001067","bad",True,1983,1983,1983
"Billy Bob Thornton","nm0000671","bad",False,1987,1987,1987
"Mathilda May","nm0000528","average",True,1992,1992,1992
"Don Johnson","nm0000467","star",False,2013,2013,2013
"Nia Long","nm0000505","good",True,1997,1997,1997
"Tawny Kitaen","nm0000478","bad",True,2014,2014,2014
"Brad Dourif","nm0000374","bad",True,1977,1977,1977
"Fred Astaire","nm0000001","average",True,1974,1974,1974
"Mel Blanc","nm0000305","average",True,1983,1983,1983
"Holly Hunter","nm0000456","average",True,1995,1999,1999
"Wes Craven","nm0000127","good",True,2006,2006,2006
"Terry Jones","nm0001402","bad",True,2000,2000,2000
"John Heard","nm0001334","bad",False,2011,2011,2011
"Marlon Brando","nm0000008","average",True,1976,1976,1976
"Erin Gray","nm0001292","bad",True,2010,2012,2012
"Ellen Burstyn","nm0000995","good",True,2015,2015,2015
"Richard Benjamin","nm0000907","bad",True,2001,2001,2001
"Susan Anton","nm0000772","bad",True,2008,2008,2008
"Cher","nm0000333","average",True,2018,2018,2018
"Nicole Kidman","nm0000173","good",True,2016,2016,2016
"Kelly LeBrock","nm0001456","bad",False,1996,1997,1997
"John Ritter","nm0000615","average",True,2002,2003,2003
"Lesley-Anne Down","nm0001153","bad",True,2000,2002,2002
"Caroline Aaron","nm0000715","bad",True,1998,1998,1998
"Rose McGowan","nm0000535","good",True,1996,1996,1996
"Asia Argento","nm0000782","bad",True,2005,2007,2007
"Dominique Swain","nm0000663","bad",False,2005,2005,2005
"Mark Hamill","nm0000434","bad",False,2004,2004,2004
"Martin Landau","nm0001445","average",False,1986,1986,1986
"Amy Irving","nm0001388","bad",False,2006,2008,2008
"Blythe Danner","nm0001100","average",True,2008,2008,2008
"James Woods","nm0000249","average",True,1972,1972,1972
"Tom Hanks","nm0000158","bad",False,1981,1983,1983
"Keith Carradine","nm0001018","bad",True,2008,2009,2009
"Piper Laurie","nm0001453","good",True,1976,1976,1976
"Lauren Holly","nm0000452","bad",True,2009,2009,2009
"Renny Harlin","nm0001317","bad",True,1995,1995,1995
"Greta Scacchi","nm0000627","bad",True,2018,2019,2019
"David Bowie","nm0000309","bad",False,2007,2007,2007
"Ally Sheedy","nm0000639","bad",False,1994,1994,1994
"Tom Cruise","nm0000129","average",True,2012,2013,2013
"Dean Martin","nm0001509","bad",True,1971,1971,1971
"Nathalie Baye","nm0000882","bad",True,1985,1985,1985
"Jeff Bridges","nm0000313","good",True,1993,1993,1993
"Swoosie Kurtz","nm0001436","bad",False,1985,1985,1985
"Dana Carvey","nm0001022","good",True,2017,2017,2017
"Milton Berle","nm0000926","good",True,1984,1984,1984
"Megan Follows","nm0001227","average",False,2005,2006,2006
"Holly Hunter","nm0000456","average",True,1991,1991,1991
"Elizabeth Hurley","nm0000167","average",True,1998,1998,1998
"Bette Davis","nm0000012","average",True,1980,1980,1980
"Dabney Coleman","nm0001056","bad",True,2016,2016,2016
"Sally Kellerman","nm0001419","bad",True,1993,1994,1994
"Brion James","nm0001397","bad",True,1977,1978,1978
"Carla Gugino","nm0001303","bad",False,1999,2000,2000
"Simon Callow","nm0001003","good",False,2000,2000,2000
"Ally Sheedy","nm0000639","bad",True,1987,1989,1989
"Keanu Reeves","nm0000206","good",True,1988,1988,1988
"Paula Abdul","nm0000716","average",False,1988,1990,1990
"Katherine Helmond","nm0001340","bad",True,2018,2018,2018
"Shelley Long","nm0001480","bad",True,1980,1981,1981
"Uma Thurman","nm0000235","star",False,1985,1986,1986
"Patrick Bergin","nm0000920","bad",False,2009,2009,2009
"Veronica Cartwright","nm0001021","bad",False,1993,1993,1993
"Matthew Modine","nm0000546","bad",True,2009,2010,2010
"Martin Lawrence","nm0001454","bad",False,2012,2018,2018
"Sarah Michelle Gellar","nm0001264","average",True,1997,1998,1998
"Jenny Agutter","nm0000256","average",True,2018,2018,2018
"Jim Carrey","nm0000120","bad",True,1995,1995,1995
"Maureen O'Hara","nm0000058","good",True,1971,1971,1971
"Ciaran Hinds","nm0001354","bad",True,2015,2015,2015
"Jennie Garth","nm0001259","bad",True,1996,1998,1998
"Albert Finney","nm0001215","good",True,2005,2005,2005
"Kathleen Quinlan","nm0000599","average",True,2006,2007,2007
"Nick Nolte","nm0000560","good",True,2007,2007,2007
"Hart Bochner","nm0000952","star",False,1989,1989,1989
"Alan Cumming","nm0001086","bad",True,2013,2013,2013
"Christina Applegate","nm0000775","average",True,2010,2010,2010
"Peter Cushing","nm0001088","bad",True,1979,1979,1979
"Pernilla August","nm0000278","good",True,1992,1992,1992
"Anthony Hopkins","nm0000164","average",True,2005,2006,2006
"Sandra Bernhard","nm0000928","bad",False,1999,1999,1999
"John Waters","nm0000691","average",True,2012,2012,2012
"Jennifer Aniston","nm0000098","average",False,2015,2015,2015
"Lee Majors","nm0000516","bad",True,2010,2011,2011
"Holly Hunter","nm0000456","average",True,2002,2003,2003
"Alain Delon","nm0001128","bad",False,1999,1999,1999
"Robert Picardo","nm0000585","bad",False,1995,1995,1995
"Meg Foster","nm0001236","bad",True,2016,2017,2017
"Mia Farrow","nm0001201","average",False,1975,1976,1976
"Elle Macpherson","nm0000512","bad",True,2001,2001,2001
"Carrie Fisher","nm0000402","average",True,2017,2017,2017
"Dennis Franz","nm0001240","good",False,1993,1995,1995
"Dennis Farina","nm0001199","bad",True,1993,1993,1993
"Dan Hedaya","nm0000445","good",True,1999,1999,1999
"Joan Allen","nm0000260","bad",True,2014,2014,2014
"Eric Idle","nm0001385","good",True,2010,2010,2010
"Orson Welles","nm0000080","bad",True,1987,1987,1987
"Virginie Ledoyen","nm0001461","bad",True,2008,2008,2008
"Ralph Bellamy","nm0000897","average",True,1977,1977,1977
"Kyle MacLachlan","nm0001492","average",True,2013,2013,2013
"James Cromwell","nm0000342","bad",False,1990,1991,1991
"Lolita Davidovich","nm0000357","good",False,2016,2017,2017
"Dermot Mulroney","nm0000551","bad",True,2018,2019,2019
"Dana Delany","nm0001127","average",True,1992,1992,1992
"George Clooney","nm0000123","bad",True,1999,1999,1999
"Sophia Loren","nm0000047","bad",False,1980,1989,1989
"Sean Penn","nm0000576","good",True,1995,1995,1995
"Sally Kellerman","nm0001419","average",True,2005,2005,2005
"Don Johnson","nm0000467","average",True,1985,1985,1985
"Kevin Dillon","nm0001143","good",True,1991,1992,1992
"Ned Beatty","nm0000885","average",True,2003,2003,2003
"Isabella Rossellini","nm0000618","average",True,2000,2000,2000
"James Cromwell","nm0000342","bad",True,1998,1998,1998
"Rosanna Arquette","nm0000275","average",True,2010,2010,2010
"John Cleese","nm0000092","good",True,1981,1982,1982
"Susan Sarandon","nm0000215","average",True,1994,1994,1994
"Veronica Cartwright","nm0001021","bad",True,2009,2011,2011
"Halle Berry","nm0000932","bad",True,2011,2011,2011
"Robert Englund","nm0000387","bad",True,2005,2005,2005
"Cameron Diaz","nm0000139","good",True,2004,2004,2004
"John Gielgud","nm0000024","bad",True,1972,1973,1973
"Nathan Lane","nm0001447","average",True,1991,1991,1991
"Christina Ricci","nm0000207","average",True,1990,1991,1991
"James Cromwell","nm0000342","average",True,1993,1993,1993
"Steven Bauer","nm0000874","average",True,1986,1986,1986
"Orson Welles","nm0000080","good",True,1980,1980,1980
"Ian Holm","nm0000453","star",True,1979,1979,1979
"Ingrid Bergman","nm0000006","average",True,1970,1970,1970
"Elias Koteas","nm0000480","average",False,1999,1999,1999
"Peter Falk","nm0000393","average",True,1995,1995,1995
"Brenda Bakke","nm0000283","bad",False,2018,2018,2018
"Robert Englund","nm0000387","good",False,1979,1980,1980
"David Hyde Pierce","nm0001383","good",True,2009,2009,2009
"Nathan Lane","nm0001447","bad",False,2014,2015,2015
"Mark Hamill","nm0000434","average",True,2001,2001,2001
"Bodhi Elfman","nm0001183","bad",False,2007,2019,2019
"Joe Mantegna","nm0001505","bad",True,2016,2016,2016
"John Carradine","nm0001017","average",True,1986,1986,1986
"Uma Thurman","nm0000235","average",True,2013,2013,2013
"Abel Ferrara","nm0001206","average",True,1981,1981,1981
"William Forsythe","nm0001235","average",True,1985,1985,1985
"Sarah Michelle Gellar","nm0001264","bad",True,1984,1984,1984
"Kevin Spacey","nm0000228","good",True,1998,1998,1998
"Mark Harmon","nm0001319","average",True,2000,2000,2000
"Wilford Brimley","nm0000979","bad",False,2004,2008,2008
"Isabella Rossellini","nm0000618","average",True,1996,1996,1996
"Dina Meyer","nm0000539","bad",False,2008,2008,2008
"Dan Futterman","nm0001246","average",False,1998,1999,1999
"Fionnula Flanagan","nm0001217","good",True,2011,2011,2011
"Ann-Margret","nm0000268","average",False,1974,1974,1974
"Alice Krige","nm0000481","bad",True,2017,2020,2020
"Angela Bassett","nm0000291","good",False,1994,1994,1994
"Gong Li","nm0000084","average",True,2002,2002,2002
"Lance Henriksen","nm0000448","bad",True,2000,2000,2000
"Giovanni Ribisi","nm0000610","bad",True,2001,2001,2001
"Adrienne Barbeau","nm0000105","bad",True,1989,1989,1989
"Bruce Davison","nm0001117","bad",True,2002,2002,2002
"Geena Davis","nm0000133","bad",False,2016,2016,2016
"C. Thomas Howell","nm0001367","bad",True,1993,2001,2001
"Cheech Marin","nm0001507","average",True,1987,1989,1989
"Marlon Brando","nm0000008","average",True,2001,2001,2001
"Charles S. Dutton","nm0001165","average",True,2012,2012,2012
"Jean-Paul Belmondo","nm0000901","good",True,1988,1988,1988
"Neve Campbell","nm0000117","bad",False,2005,2005,2005
"Hart Bochner","nm0000952","bad",False,1982,1983,1983
"Alan Bates","nm0000869","bad",True,1993,1993,1993
"Richard Beymer","nm0000937","bad",True,1992,1992,1992
"Jeff Bridges","nm0000313","good",True,2015,2016,2016
"Matthew Broderick","nm0000111","average",True,1990,1990,1990
"John Candy","nm0001006","bad",True,1988,1989,1989
"Liv Tyler","nm0000239","average",True,2004,2005,2005
"Kathy Ireland","nm0001387","bad",True,1988,1990,1990
"Paul Newman","nm0000056","average",True,1981,1981,1981
"Sophie Marceau","nm0000521","average",True,1989,1989,1989
"Eva Gabor","nm0001247","good",False,1971,1976,1976
"Dana Carvey","nm0001022","average",True,1990,1990,1990
"Marina Sirtis","nm0000642","bad",True,2009,2009,2009
"Eric Roberts","nm0000616","average",True,1978,1978,1978
"Dabney Coleman","nm0001056","good",True,1983,1983,1983
"Gary Oldman","nm0000198","bad",True,1982,1982,1982
"Molly Ringwald","nm0000208","good",True,1984,1985,1985
"Gary Sinise","nm0000641","average",True,2020,2020,2020
"Carol Kane","nm0001406","bad",True,1997,1997,1997
"Beatrice Dalle","nm0001095","bad",True,1988,1988,1988
"Melanie Lynskey","nm0001491","good",True,2011,2011,2011
"Anita Ekberg","nm0001179","bad",True,1979,1980,1980
"Isabelle Adjani","nm0000254","average",False,2009,2009,2009
"Marlon Brando","nm0000008","bad",True,1998,1998,1998
"Martin Landau","nm0001445","good",True,1998,1998,1998
"Robert Redford","nm0000602","bad",False,1994,1995,1995
"Sarah Jessica Parker","nm0000572","bad",True,2009,2012,2012
"James Spader","nm0000652","bad",True,2000,2001,2001
"Richard Burton","nm0000009","average",True,1973,1973,1973
"Gong Li","nm0000084","average",True,2010,2010,2010
"Hart Bochner","nm0000952","average",True,1992,1992,1992
"Katherine Helmond","nm0001340","average",True,2011,2011,2011
"Robert Downey Jr.","nm0000375","bad",True,1990,1990,1990
"Sissy Spacek","nm0000651","average",True,1983,1985,1985
"Ronny Cox","nm0001074","bad",True,1982,1982,1982
"Brent Spiner","nm0000653","bad",True,2008,2008,2008
"Blythe Danner","nm0001100","average",True,2005,2006,2006
"Cynthia Gibb","nm0001269","bad",False,2010,2012,2012
"Jill Clayburgh","nm0001049","average",False,2007,2009,2009
"Paul Sorvino","nm0000649","average",True,2003,2003,2003
"John Hurt","nm0000457","good",True,2010,2010,2010
"Beatrice Dalle","nm0001095","bad",False,1998,2000,2000
"Milton Berle","nm0000926","bad",False,1992,1993,1993
"Christopher Guest","nm0001302","good",True,1978,1978,1978
"Sandahl Bergman","nm0000922","good",True,1979,1979,1979
"Dan Aykroyd","nm0000101","average",False,1986,1986,1986
"Leonardo DiCaprio","nm0000138","average",True,1995,1996,1996
"Olympia Dukakis","nm0001156","average",False,1975,1978,1978
"John Carradine","nm0001017","bad",True,1973,1975,1975
"Melanie Griffith","nm0000429","bad",True,1973,1973,1973
"Sarah Michelle Gellar","nm0001264","bad",False,1990,1996,1996
"Kate Winslet","nm0000701","good",True,2008,2008,2008
"R. Lee Ermey","nm0000388","average",True,1989,1989,1989
"Jeremy Irons","nm0000460","bad",True,1983,1983,1983
"Scott Bakula","nm0000836","average",True,1991,1991,1991
"Jean-Luc Godard","nm0000419","average",False,1988,1992,1992
"Matt LeBlanc","nm0001455","bad",False,1997,1997,1997
"Joan Allen","nm0000260","average",False,1994,1994,1994
"Joan Collins","nm0001058","bad",True,2020,2020,2020
"Michael Bay","nm0000881","bad",False,2015,2018,2018
"Estelle Getty","nm0001268","bad",True,1992,1992,1992
"Noah Baumbach","nm0000876","average",False,1996,1996,1996
"Charlotte Gainsbourg","nm0001250","bad",True,1992,1992,1992
"Brian Dennehy","nm0001133","average",False,2003,2003,2003
"Maria Conchita Alonso","nm0000744","average",True,1990,1990,1990
"Ray Liotta","nm0000501","bad",True,1983,1983,1983
"Abel Ferrara","nm0001206","average",False,1982,2008,2008
"Peter Berg","nm0000916","bad",True,2001,2001,2001
"Kelly McGillis","nm0000534","average",True,2013,2013,2013
"Kurt Russell","nm0000621","good",True,2015,2016,2016
"Thora Birch","nm0000301","bad",False,2013,2017,2017
"Carol Kane","nm0001406","average",True,1971,1972,1972
"Brian Dennehy","nm0001133","average",False,1981,1981,1981
"Jim Belushi","nm0000902","bad",True,2011,2013,2013
"Christopher Lee","nm0000489","average",True,1974,1974,1974
"Sissy Spacek","nm0000651","average",False,1998,1998,1998
"Shirley MacLaine","nm0000511","bad",False,1973,1976,1976
"Elisabeth Shue","nm0000223","average",False,1992,1992,1992
"Jeff Goldblum","nm0000156","average",True,1997,1997,1997
"Robert Forster","nm0001233","bad",True,1988,1993,1993
"Emma Thompson","nm0000668","average",True,2005,2005,2005
"Tom Cruise","nm0000129","good",True,1996,1996,1996
"Kevin Bacon","nm0000102","bad",True,2020,2020,2020
"Dan Hedaya","nm0000445","bad",False,2011,2011,2011
"Roman Polanski","nm0000591","bad",True,1992,1992,1992
"Peter Jackson","nm0001392","good",False,1993,1993,1993
"Robert Duvall","nm0000380","bad",True,2002,2002,2002
"Kyle MacLachlan","nm0001492","good",True,1991,1991,1991
"Marianne Jean-Baptiste","nm0001399","bad",True,2006,2006,2006
